TIMESTAMP	A-3	A-5	A-7	A-8	A-9	A-10	A-11	A-12	A-13	A-14	A-15	A-16	A-17	A-18	A-19	A-20	A-21	A-22	A-23	A-24
2016-09-06	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85	29.85
2016-10-25	-1.380	-1.510	-1.370	-1.260	-1.740	-1.900	-1.150	-1.290	-1.780	-1.530	-1.170	-1.290	-1.220	-1.290	-1.210	-1.290	-1.170	-1.200	-1.050	-1.120
2016-12-26	-2.960	-2.070	-2.350	-2.330	-2.910	-2.530	-2.860	-2.290	-2.345	-2.400	-3.700	-2.300	-2.410	-2.130	-2.100	-2.100	-1.390	-1.770	-1.620	-1.500
2017-01-23	-1.070	-0.74	-0.715	-0.57	-0.7	-0.505	-0.615	-0.49	-0.478	-0.465	-0.43	-0.33	-0.45	-0.47	-0.39	-0.34	-0.26	-0.2	-0.34	-0.27
2017-02-22	-0.78	-0.77	-0.81	-0.73	-0.93	-0.655	-0.825	-0.74	-0.685	-0.615	-0.55	-0.62	-0.61	-0.67	-0.48	-0.545	-1.390	-0.33	-0.05	-0.11
2017-03-20	-0.52	-0.53	-0.505	-0.415	-0.37	-0.43	-0.3	-0.335	-0.3	-0.44	-0.365	-0.21	-0.29	-0.25	-0.27	-0.175	-0.14	-0.105	-0.05	-0.01
2017-04-26	-1.010	-1.100	-0.89	-0.95	-1.150	-1.170	-1.180	-1.161	-1.190	-1.143	-1.095	-0.57	-0.87	-0.85	-0.76	-0.84	-0.63	-0.5	-0.41	-0.36
2017-05-30	-1.150	-1.080	-1.250	-0.98	-0.93	-0.87	-0.76	-0.62	-0.53	-0.55	-0.72	-0.62	-0.52	-0.43	-0.46	-0.43	-0.46	-0.39	-0.35	-0.34
2017-06-15	-0.31	-0.39	-0.28	-0.52	-0.33	-0.31	-0.35	-0.3	-0.33	-0.38	-0.41	-0.34	-0.45	-0.32	-0.27	-0.31	-0.36	-0.24	-0.21	-0.18
2017-07-19	-0.62	-0.78	-0.56	-0.7	-0.66	-0.62	-0.7	-0.6	-0.66	-0.76	-0.78	-0.68	-0.71	-0.64	-0.54	-0.62	-0.72	-0.6	-0.5	-0.49
2017-08-29	-0.79	-0.81	-0.74	-1.180	-0.85	-0.78	-0.82	-0.87	-0.7	-0.9	-0.71	-0.57	-0.61	-0.68	-0.7	-0.53	-0.57	-0.46	-0.44	-0.39
