	r	R	rmse	pbias
A-3	0.99	0.98	0.63	-6.97
A-5	1.00	0.99	0.35	4.06
A-7	0.99	0.99	0.33	-0.66
A-8	1.00	1.00	0.23	3.16
A-9	0.99	0.99	0.79	-10.48
A-10	0.99	0.99	0.39	-3.46
A-11	0.99	0.99	0.42	-4.31
A-12	1.00	0.99	0.57	7.95
A-13	0.99	0.99	0.40	-0.97
A-14	1.00	0.99	0.30	-2.72
A-15	0.99	0.98	0.87	-11.64
A-16	0.99	0.98	0.36	1.91
A-17	0.99	0.97	0.52	-6.83
A-18	0.99	0.97	0.38	-2.10
A-19	0.98	0.96	0.44	-4.11
A-20	0.98	0.96	0.48	-4.82
A-21	0.97	0.94	0.54	2.11
A-22	0.97	0.95	0.45	-6.07
A-23	0.98	0.96	0.51	9.02
A-24	0.98	0.96	0.68	15.05
